No.,Name,Formula,CAS no.,molecular-weight,critical-temperature,critical-pressure,critical-molar-volume,critical-compressibility-factor,acentric-factor,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
-,-,-,-,MW,Tc,Pc,Vc,Zc,AcFa,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,K,MPa,m3/kmol,-,-,kJ/mol,kJ/mol,J/mol.K,kJ/mol
30,"1,3-Butadiene",C4H6,106-99-0,54.09,425,4.32,0.221,0.27,0.195,109.24,149.72,278.89,-24.09
31,Butane,C4H10,106-97-8,58.122,425.12,3.796,0.255,0.274,0.2002,-125.79,-16.7,309.91,-26.5732
32,"1,2-Butanediol",C4H10O2,584-03-2,90.121,680,5.21,0.303,0.279,0.6305,-445.8,-304.4,406.5,-22.678
33,"1,3-Butanediol",C4H10O2,107-88-0,90.121,676,4.02,0.305,0.218,0.7043,-433.2,-291.8,406.5,-22.824
34,1-Butanol,C4H10O,71-36-3,74.122,563.1,4.414,0.273,0.258,0.5883,-275.1,-150.7,361.8,-24.54
35,2-Butanol,C4H10O,78-92-2,74.122,535.9,4.188,0.27,0.254,0.5692,-292.9,-167,356.6,-24.46
36,1-Butene,C4H8,106-98-9,56.106,419.5,4.02,0.241,0.278,0.1845,-0.5,70.41,307.4,-25.408
37,cis-2-Butene,C4H8,590-18-1,56.106,435.5,4.21,0.234,0.272,0.2019,-7.4,65.36,301.2,-25.339
38,trans-2-Butene,C4H8,624-64-6,56.106,428.6,4.1,0.238,0.274,0.2176,-11,63.2,296.5,-25.3
39,Butyl acetate,C6H12O2,123-86-4,116.158,575.4,3.09,0.389,0.251,0.4394,-485.6,-312.6,442.5,-32.8
40,Butylbenzene,C10H14,104-51-8,134.218,660.5,2.89,0.497,0.262,0.3941,-13.14,145.4,439.49,-55.644
41,Butyl mercaptan,C4H10S,109-79-5,90.187,570.1,3.97,0.307,0.257,0.2714,-87.8,11.39,375.2,-29.554
42,sec-Butyl mercaptan,C4H10S,513-53-1,90.187,554,4.06,0.307,0.271,0.2506,-96.6,5.12,366.7,-29.49
43,1-Butyne,C4H6,107-00-6,54.09,440,4.6,0.208,0.262,0.247,165.2,202.25,290.39,-24.647
44,Butyraldehyde,C4H8O,123-72-8,72.106,537.2,4.32,0.258,0.25,0.2774,-207,-116.3,343.65,-23.035
45,Butyric acid,C4H8O2,107-92-6,88.105,615.7,4.06,0.293,0.232,0.6805,-475.8,-360,360.1,-20.08
46,Butyronitrile,C4H7N,109-74-0,69.105,582.25,3.79,0.278,0.218,0.3714,34.0578,108.658,325.432,-24.148
47,Carbon dioxide,CO2,124-38-9,44.01,304.21,7.383,0.094,0.274,0.2236,-393.51,-394.37,213.677,0
48,Carbon disulfide,CS2,75-15-0,76.141,552,7.9,0.16,0.275,0.1107,116.9,66.8,237.9,-10.769
49,Carbon monoxide,CO,630-08-0,28.01,132.92,3.499,0.0944,0.299,0.0482,-110.53,-137.15,197.556,-2.83
50,Carbon tetrachloride,CCl4,56-23-5,153.823,556.35,4.56,0.276,0.272,0.1926,-95.81,-53.54,309.91,-2.653
51,Carbon tetrafluoride,CF4,75-73-0,88.004,227.51,3.745,0.143,0.283,0.179,-922.1,-877.6,262,5.286
52,Chlorine,Cl2,7782-50-5,70.906,417.15,7.71,0.124,0.276,0.0688,0,0,222.972,0
53,Chlorobenzene,C6H5Cl,108-90-7,112.557,632.35,4.519,0.308,0.265,0.2499,51.09,98.29,314.03,-29.76
54,Chloroethane,C2H5Cl,75-00-3,64.514,460.35,5.27,0.2,0.275,0.1902,-112.26,-60.499,275.78,-12.849
55,Chloroform,CHCl3,67-66-3,119.378,536.4,5.472,0.239,0.293,0.2219,-102.9,-70.1,295.6,-3.8
56,Chloromethane,CH3Cl,74-87-3,50.488,416.25,6.68,0.143,0.276,0.1531,-81.96,-58.44,234.18,-6.7538
57,1-Chloropropane,C3H7Cl,540-54-5,78.541,503.15,4.58,0.247,0.27,0.2277,-133.18,-52.61,315.47,-18.67
58,2-Chloropropane,C3H7Cl,75-29-6,78.541,489,4.54,0.247,0.276,0.1986,-144.77,-61.36,305.94,-18.63
59,m-Cresol,C7H8O,108-39-4,108.138,705.85,4.56,0.312,0.242,0.448,-132.3,-40.19,356.04,-35.2783
60,o-Cresol,C7H8O,95-48-7,108.138,697.55,5.01,0.282,0.244,0.4339,-128.57,-35.43,352.59,-35.28
61,p-Cresol,C7H8O,106-44-5,108.138,704.65,5.15,0.277,0.244,0.5072,-125.35,-31.66,350.75,-35.2256
62,Cumene,C9H12,98-82-8,120.192,631,3.209,0.434,0.265,0.3274,4,137.9,386,-49.51
